AWSCloudMap, AWS Cloud Map
access-analyzer, Access Analyzer
acm, AWS Certificate Manager (ACM)
acm-pca, AWS Private Certificate Authority
airflow, Amazon Managed Workflows for Apache Airflow
amplify, AWS Amplify
amplifyuibuilder, Amplify UI Builder
aoss, Amazon OpenSearch Serverless
apigateway, Amazon API Gateway
app-integrations, AmazonAppIntegrationService
appconfig, AWS AppConfig
appflow, Amazon AppFlow
application-autoscaling, Application Auto Scaling
appmesh, AWS App Mesh
apprunner, AWS App Runner
appstream2, Amazon AppStream 2.0
appsync, AWS AppSync
aps, Amazon Managed Prometheus
athena, Amazon Athena
auditmanager, AWS Audit Manager
autoscaling, Amazon EC2 Auto Scaling
autoscaling-plans, AWS Auto Scaling Plans
backup, AWS Backup
batch, AWS Batch
cases, Amazon Connect Cases
cassandra, Amazon Keyspaces (for Apache Cassandra)
chime, Amazon Chime
cleanrooms, AWS Clean Rooms
cloud9, AWS Cloud9
cloudformation, AWS CloudFormation
cloudhsm, AWS CloudHSM
cloudshell, AWS CloudShell
cloudtrail, AWS CloudTrail
codeartifact, AWS CodeArtifact
codebuild, AWS CodeBuild
codecommit, AWS CodeCommit
codedeploy, AWS CodeDeploy
codeguru-profiler, Amazon CodeGuru Profiler
codeguru-reviewer, Amazon CodeGuru Reviewer
codepipeline, AWS CodePipeline
cognito-identity, Amazon Cognito Federated Identities
cognito-idp, Amazon Cognito User Pools
cognito-sync, Amazon Cognito Sync
comprehend, Amazon Comprehend
config, AWS Config
connect, Amazon Connect
databrew, AWS Glue DataBrew
dataexchange, AWS Data Exchange
datasync, AWS DataSync
dax, Amazon DynamoDB Accelerator (DAX)
dlm, Amazon Data Lifecycle Manager
dms, AWS Database Migration Service (AWS DMS)
docdb, Amazon DocumentDB (with MongoDB compatibility)
drs, ElasticDisasterRecovery
ds, AWS Directory Service
dynamodb, Amazon DynamoDB
ebs, Amazon Elastic Block Store (Amazon EBS)
ec2, Amazon Elastic Compute Cloud (Amazon EC2)
ec2-ipam, IPAM
ec2fastlaunch, EC2 Fast Launch
ecr, Amazon Elastic Container Registry (Amazon ECR)
ecs, Amazon Elastic Container Service (Amazon ECS)
eks, Amazon Elastic Kubernetes Service (Amazon EKS)
elasticache, Amazon ElastiCache
elasticbeanstalk, AWS Elastic Beanstalk
elasticfilesystem, Amazon Elastic File System (EFS)
elasticloadbalancing, Elastic Load Balancing (ELB)
elasticmapreduce, Amazon EMR
elastictranscoder, Amazon Elastic Transcoder
emr-serverless, Amazon EMR Serverless
entityresolution, AWS Entity Resolution
es, Amazon OpenSearch Service
events, Amazon EventBridge (CloudWatch Events)
evidently, Amazon CloudWatch Evidently
fargate, AWS Fargate
firehose, Amazon Kinesis Data Firehose
fis, AWS Fault Injection Simulator
fms, AWS Firewall Manager
forecast, Amazon Forecast
frauddetector, Amazon Fraud Detector
fsx, Amazon FSx
gamelift, Amazon GameLift
geo, Amazon Location Service (Amazon Location)
glacier, Amazon Glacier
glue, AWS Glue
grafana, Amazon Managed Grafana
greengrass, AWS IoT Greengrass
guardduty, Amazon GuardDuty
imagebuilder, EC2 Image Builder
inspector2, Amazon Inspector
internetmonitor, CloudWatch Internet Monitor
iot, AWS IoT
iotcore, AWS IoT Core
iotevents, AWS IoT Events
iotsitewise, AWS IoT SiteWise
iottwinmaker, AWS IoT TwinMaker
iotwireless, AWS IoT Wireless
kafka, Amazon Managed Streaming for Kafka (MSK)
kafkaconnect, Managed Streaming for Kafka Connect
kendra, Amazon Kendra
kendra-ranking, Amazon Kendra Intelligent Ranking
kinesis, Amazon Kinesis Data Streams
kinesisanalytics, Amazon Kinesis Data Analytics
kinesisvideo, Amazon Kinesis Video Streams
kms, AWS Key Management Service (AWS KMS)
lakeformation, AWS Lake Formation
lambda, AWS Lambda
launchwizard, AWS Launch Wizard
lex, Amazon Lex
license-manager, AWS License Manager
license-manager-linux-subscriptions, AWS License Manager Linux Subscriptions
license-manager-user-subscriptions, AWS License Manager User Subscriptions
lightsail, Amazon Lightsail
logs, Amazon CloudWatch Logs
lookoutmetrics, Amazon Lookout for Metrics
m2, AWS Mainframe Modernization
macie2, Amazon Macie
managedblockchain, Amazon Managed Blockchain
mediaconnect, AWS Elemental MediaConnect
mediaconvert, AWS Elemental MediaConvert
medialive, AWS Elemental MediaLive
mediapackage, AWS Elemental MediaPackage
mediapackagev2, AWS Elemental MediaPackage v2
mediatailor, AWS Elemental MediaTailor
mgn, Application Migration
migrationhuborchestrator, Migration Hub Orchestrator
monitoring, Amazon CloudWatch
mq, Amazon MQ
neptune, Amazon Neptune
